"DATASET","REP","CLIM_YR","PLT_SZ","SurvRate_JAGS","SurvRate_GLMM","SurvRate_True","GrwthRate_JAGS","GrwthRate_GLMM","GrwthRate_True"
"SimDat40yr",1,2002,1,0.847074350388506,0.890094707760011,0.722243789442332,2.51638457251253,5.11911108549355,1.85265178871068
"SimDat40yr",1,2002,2.58689776396124,0.885628727743525,0.913618231362708,0.813620645764073,4.69096492235524,8.09206766726574,3.77439019935036
"SimDat40yr",1,2002,5.43509194201455,0.909581018375551,0.928716376696095,0.867427041225206,7.6303053477308,11.5716606128973,6.58040149832022
"SimDat40yr",1,2002,8.37819600856587,0.921366836712966,0.936354895291427,0.892284518332053,10.1320479888789,14.2541529956801,9.09846504999341
"SimDat40yr",1,2002,11.394562374498,0.928869461500366,0.941311568949551,0.907367758748883,12.3938928361881,16.5302914481924,11.4539831378936
"SimDat40yr",1,2002,14.3928317919052,0.934121048628402,0.944832527846457,0.917529314954642,14.4439099526899,18.4993075569726,13.6430783797735
"SimDat40yr",1,2002,17.4168456893173,0.938138891350505,0.947558606753421,0.925061710580294,16.366545742484,20.2795021510404,15.7370447540314
"SimDat40yr",1,2002,20.4492023787929,0.941341878671655,0.949753859339814,0.930905753655456,18.1816965970895,21.9098808372914,17.7465355750041
"SimDat40yr",1,2002,23.4679857009673,0.943965049156222,0.95156747207024,0.935580003940674,19.8984690997415,23.4125993871991,19.6737058447804
"SimDat40yr",1,2002,26.4680666305487,0.946166196863242,0.953101000360017,0.939421177270463,21.5305728186399,24.8096375889986,21.5280012349379
"SimDat40yr",1,2002,29.4813766244729,0.94806943577447,0.954436087704424,0.942680721203849,23.1067747257621,26.1324177930905,23.3379430929316
"SimDat40yr",1,2002,32.4669190254479,0.949718136662394,0.95559980518132,0.945456644677376,24.614504663506,27.3755318943637,25.0858388512786
"SimDat40yr",1,2002,35.4521633345378,0.951178234489415,0.956636225333695,0.947877084337539,26.0749695726891,28.5605790297399,26.793576658087
"SimDat40yr",1,2002,38.3948724021863,0.95246700236495,0.957555766394253,0.949983224399555,27.4736528716874,29.6791160302634,28.4419238800301
"SimDat40yr",1,2002,41.41768651391,0.953661831914896,0.958412400055156,0.951909962867001,28.8724285057049,30.7827412337053,30.1023950413644
"SimDat40yr",1,2002,44.4207985104545,0.954740033456293,0.959188937419775,0.953626857723956,30.2276308288902,31.8385567825111,31.7221272942292
"SimDat40yr",1,2002,47.381327188688,0.955712636503749,0.959892379385659,0.955157580916853,31.5330197506303,32.8437700251848,33.292152237747
"SimDat40yr",1,2002,50.3660178676982,0.95661511127158,0.960547686016201,0.956562410324602,32.8208894390256,33.8247479140715,34.8502188189642
"SimDat40yr",1,2002,53.3730542950344,0.957455538481491,0.961160239626874,0.957857026791124,34.0920531059921,34.7830526503073,36.3966502244237
"SimDat40yr",1,2002,56.4401395039259,0.958250585330921,0.961741814675212,0.959069480755506,35.3634108665122,35.7320845115674,37.9515649848245
"SimDat40yr",1,2002,59.5477200143269,0.958999862985662,0.962291823831294,0.960201091809163,36.6274843656464,36.6667618109233,39.505495605716
"SimDat40yr",1,2002,62.5132346794858,0.959668140019229,0.962783979095931,0.961201222903658,37.8127214576986,37.5354140850101,40.9694812349568
"SimDat40yr",1,2002,65.4022525955798,0.960279996618973,0.963235939897005,0.962109272109842,38.9488798011788,38.361352125294,42.3790048608317
"SimDat40yr",1,2002,68.363024324324,0.960870984138238,0.963673742263949,0.962979343365401,40.0954437514587,39.1884118253244,43.8073939393912
"SimDat40yr",1,2002,71.4628636164746,0.96145445141382,0.96410720982592,0.963831524920475,41.2776648129298,40.0346610762365,45.286314970743
"SimDat40yr",1,2002,74.5820454297392,0.96200864769339,0.964520091400553,0.964634623668012,42.4495475931733,40.8671986916592,46.7582771468118
"SimDat40yr",1,2002,77.5031984579935,0.962500488956021,0.964887482288712,0.965342150927802,43.531797433437,41.6306675700037,48.1228145933518
"SimDat40yr",1,2002,80.3983200736663,0.962964274120663,0.965234761609921,0.96600479287802,44.5906127912841,42.3727552786604,49.4624956728348
"SimDat40yr",1,2002,83.2803153907084,0.963404462639274,0.965565143600062,0.966629626648665,45.6316498485502,43.0978468929707,50.7841131494085
"SimDat40yr",1,2002,86.1944809986906,0.963829479637003,0.965884863150414,0.96722911427493,46.6717540208369,43.8179272406562,52.1088470935862
"SimDat40yr",1,2002,89.2999312115543,0.964261899860133,0.966210893762688,0.967835174818621,47.7668757878154,44.5715202929078,53.50820995944
"SimDat40yr",1,2002,92.5321072650703,0.964691265734005,0.966535373631965,0.968433065856609,48.8928327034931,45.3415776366025,54.9517513202064
"SimDat40yr",1,2002,95.563197366089,0.965076206082762,0.966826927279407,0.968965777668835,49.9364798895393,46.0511583723659,56.2940092108639
"SimDat40yr",1,2002,98.4998451822912,0.96543399549975,0.96709847333896,0.969458085788958,50.9367783102631,46.7275891640098,57.5842762458473
"SimDat40yr",1,2002,101.582785938045,0.965794676518519,0.967372764227927,0.96995159611242,51.9759083649369,47.4265648111514,58.9284623065085
"SimDat40yr",1,2002,104.609020660149,0.966134853395629,0.967631975162258,0.970414481615523,52.9854025805,48.1020706443205,60.2379879172449
"SimDat40yr",1,2002,107.614900657569,0.966460039948783,0.967880235365818,0.970854624223464,53.9781881064625,48.7630798980465,61.5293137291795
"SimDat40yr",1,2002,110.526931138367,0.966763764243707,0.968112532111259,0.971263635791423,54.9308995666363,49.3943867289311,62.7717040699024
"SimDat40yr",1,2002,113.482325854321,0.967061326812179,0.968340515942847,0.971662389601736,55.8889915635726,50.0263417869754,64.0242133559962
"SimDat40yr",1,2002,116.484229323014,0.967353208564412,0.968564536200758,0.972051636480183,56.8533954063365,50.6595697254917,65.2880697991782
"SimDat40yr",1,2002,119.307589339838,0.967618746869219,0.968768676141274,0.972404114775777,57.7526496272541,51.2474623287046,66.4693057838031
"SimDat40yr",1,2002,122.145085442724,0.967877327087725,0.968967780050987,0.972745850498164,58.649044887318,51.831078400586,67.6493994368951
"SimDat40yr",1,2002,125.683539230623,0.968188810725185,0.969208033960486,0.973155519580696,59.7568872044499,52.5491093662884,69.1114143087591
"SimDat40yr",1,2002,128.631941377867,0.968439576405337,0.969401787977194,0.973483749300066,60.6718018317602,53.1394425369918,70.3217438130085
"SimDat40yr",1,2002,131.335191543257,0.968662863655595,0.969574563586901,0.973774819197118,61.5043102118991,53.6745590773728,71.425323859684
"SimDat40yr",1,2002,134.07814266807,0.968883266053091,0.96974534272209,0.974061021887963,62.3430290980106,54.211731665004,72.5392925233068
"SimDat40yr",1,2002,136.799802654624,0.969096106591727,0.969910486879202,0.974336357708378,63.1694112377144,54.7391345580233,73.6389679423471
"SimDat40yr",1,2002,139.975421359639,0.969337435299793,0.970098004322337,0.974647296640469,64.1264996447308,55.3476778051042,74.9151400992918
"SimDat40yr",1,2002,144.272288713018,0.969652613685107,0.970343339887158,0.975051377684014,65.4096884140826,56.1598063394844,76.6303912868028
"SimDat40yr",1,2002,146.991236441018,0.969845667733196,0.970493859718683,0.975297757810673,66.2148525320258,56.6672385519281,77.7091206661314
"SimDat40yr",1,2002,149.630067913676,0.970028540783165,0.970636615804692,0.975530350539801,66.9913964795688,57.1550881456389,78.7512793936838
"SimDat40yr",1,2003,1,0.953509446204832,0.899710320491437,0.959809817430425,3.21844244994484,4.84046416996912,2.86342722100642
"SimDat40yr",1,2003,2.58689776396124,0.966297881518374,0.921357607859431,0.975664997462664,5.99971912172226,7.65159476913148,5.83363355454998
"SimDat40yr",1,2003,5.43509194201455,0.973854719062714,0.935198980014067,0.983631486409508,9.75911985212095,10.9417841590699,10.1705570848555
