"DATASET","REP","CLIM_YR","PLT_SZ","SurvRate_JAGS","SurvRate_JAGSnoMs","SurvRate_GLMM","SurvRate_True","GrwthRate_JAGS","GrwthRate_JAGSnoMs","GrwthRate_GLMM","GrwthRate_True"
"SimDat20yr",10,2014,149.630067913676,0.980699632422959,0.985417248728596,0.977318026022226,0.97717299007669,86.6038655958326,77.0290535493926,64.8682864719806,80.2747565647224
"SimDat20yr",10,2015,1,0.969225629796433,0.954228240935695,0.853235660155758,0.981074909662153,2.69921710089977,3.37784644728808,2.97543738159497,3.14561924651549
"SimDat20yr",10,2015,2.58689776396124,0.983776271827351,0.974963672796582,0.9082197548971,0.988640219328478,5.50815769523552,6.49419822685175,5.44389444425322,6.40854073457515
"SimDat20yr",10,2015,5.43509194201455,0.990210798208417,0.984482398157575,0.937470654067074,0.992392163888801,9.61547826196107,10.8211287345466,8.72653569307318,11.1728700066842
"SimDat20yr",10,2015,8.37819600856587,0.992717103456733,0.988279627489176,0.950250344457673,0.993981215733839,13.304924952828,14.5723396684951,11.4893956928604,15.4482925228629
"SimDat20yr",10,2015,11.394562374498,0.994099882023132,0.990404237098325,0.95778316993368,0.994905325829492,16.7583918669202,18.0042592744164,13.9694263901745,19.4477289404159
"SimDat20yr",10,2015,14.3928317919052,0.994972894272896,0.991758991750149,0.962763660597585,0.995511700268021,19.9693549879077,21.1419831012402,16.2053499454698,23.1645958483118
"SimDat20yr",10,2015,17.4168456893173,0.995589369062069,0.99272297521786,0.966406232054257,0.995953050676648,23.0419068808913,24.1049786890673,18.2936408185901,26.7199433607583
"SimDat20yr",10,2015,20.4492023787929,0.996049467821976,0.993446929977437,0.969203204062073,0.996290818140031,25.9913991140332,26.9182668006884,20.258403748266,30.1318597503712
"SimDat20yr",10,2015,23.4679857009673,0.996405868703537,0.994010663306724,0.971421824885797,0.996558100254749,28.820791934569,29.5919565823331,22.1112463445888,33.4040039972616
"SimDat20yr",10,2015,26.4680666305487,0.996690921312881,0.994463573776645,0.973232614733014,0.996775860497854,31.5438003492018,32.1444299009424,23.868250079423,36.5524139162479
"SimDat20yr",10,2015,29.4813766244729,0.996927192739125,0.99484046296575,0.974760348677991,0.996959329479711,34.2022009440227,34.6186093487762,25.5612731835513,39.6255159304916
"SimDat20yr",10,2015,32.4669190254479,0.997124283874571,0.995155961737598,0.976054933209887,0.997114632394425,36.7699236288596,36.9931584758589,27.1775002197422,42.5932698127176
"SimDat20yr",10,2015,35.4521633345378,0.997292996481969,0.995426888200879,0.977178824902945,0.997249344088186,39.279053445306,39.3001584647896,28.7402241068981,45.4928394705631
"SimDat20yr",10,2015,38.3948724021863,0.997437390238266,0.995659427585456,0.978153022152145,0.997366034037724,41.7012740883211,41.5155830896878,30.2343742214906,48.2915697974817
"SimDat20yr",10,2015,41.41768651391,0.997567493789719,0.995869508639817,0.979041149588241,0.997472355816024,44.1416394489967,43.7367516734501,31.7263381798351,51.1108853727049
"SimDat20yr",10,2015,44.4207985104545,0.997681804693647,0.996054546330707,0.979830042528678,0.997566754951948,46.5224321462464,45.8938236396773,33.1697544059907,53.861030316218
"SimDat20yr",10,2015,47.381327188688,0.99778241481346,0.996217777623738,0.980531382171879,0.997650646739274,48.8304305594715,47.9761468230189,34.5582760155827,56.5267771715816
